"INDUSTRY_9S","Education","Sex","Age","Item","UNIT","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year",
"Agriculture, forestry and fishing","Under middle shcool","Male","35 ~ 39","Employment","Persons","61","93","79","102","26","140","116","65","99","84","35",
"Agriculture, forestry and fishing","Under middle shcool","Male","40 ~ 44","Hours worked","Hours","190.2","199.6","184.1","177.7","162.2","170.7","179","184.5","195.3","204.3","207.1",
"Agriculture, forestry and fishing","Under middle shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2108","1843","1930","2430","2143","1454","1826","1910","1899","2235","2231",
"Agriculture, forestry and fishing","Under middle shcool","Male","40 ~ 44","Employment","Persons","92","94","93","100","42","36","58","85","59","67","49",
"Agriculture, forestry and fishing","Under middle shcool","Male","45 ~ 49","Hours worked","Hours","188","190.8","188.5","183.1","183.7","205","192.6","197","210.8","189.6","164.5",
"Agriculture, forestry and fishing","Under middle shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2235","2723","3099","2659","2888","2199","1844","2566","2845","3470","3532",
"Agriculture, forestry and fishing","Under middle shcool","Male","45 ~ 49","Employment","Persons","226","184","141","171","60","98","73","106","65","64","42",
"Agriculture, forestry and fishing","Under middle shcool","Male","50 ~ 54","Hours worked","Hours","188.7","190","185","173.9","169.4","180.1","190.8","176","151.7","164","160.5",
"Agriculture, forestry and fishing","Under middle shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2693","2938","3130","3041","3323","2739","3084","3134","2445","2435","3238",
"Agriculture, forestry and fishing","Under middle shcool","Male","50 ~ 54","Employment","Persons","451","346","219","294","180","245","205","221","222","147","100",
"Agriculture, forestry and fishing","Under middle shcool","Male","55 ~ 59","Hours worked","Hours","183.4","185.3","181.2","174.2","174.6","187.2","187.2","189.5","191.7","171.8","138.7",
"Agriculture, forestry and fishing","Under middle shcool","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","2149","2263","2629","3102","3386","2627","2795","3111","2514","2937","2589",
"Agriculture, forestry and fishing","Under middle shcool","Male","55 ~ 59","Employment","Persons","280","303","281","323","261","356","354","343","554","238","220",
"Agriculture, forestry and fishing","Under middle shcool","Male","60 years old and over","Hours worked","Hours","186.9","185.1","181.8","172.4","169.2","195.8","191.5","178","186.1","168.1","137.9",
"Agriculture, forestry and fishing","Under middle shcool","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1868","1851","1908","2071","1982","2038","2321","2689","2439","2434","2317",
"Agriculture, forestry and fishing","Under middle shcool","Male","60 years old and over","Employment","Persons","314","430","323","397","279","545","451","628","958","491","347",
"Agriculture, forestry and fishing","Under middle shcool","Female","19 years old and less","Hours worked","Hours","-","-","-","-","200","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Under middle shcool","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","1246","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Under middle shcool","Female","19 years old and less","Employment","Persons","-","-","-","-","3","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Under middle shcool","Female","20 ~ 24","Hours worked","Hours","-","215","222","181.9","172.5","191.6","224","195.9","214","206.2","195.6",
"Agriculture, forestry and fishing","Under middle shcool","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","-","1055","1249","1445","1289","1614","1260","1410","1485","1788","1759",
"Agriculture, forestry and fishing","Under middle shcool","Female","20 ~ 24","Employment","Persons","-","3","8","24","14","15","5","9","107","77","65",
"Agriculture, forestry and fishing","Under middle shcool","Female","25 ~ 29","Hours worked","Hours","-","165","202","177.8","149.9","176","205.6","174.5","218.2","202.4","196.1",
"Agriculture, forestry and fishing","Under middle shcool","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","-","1489","905","1324","1144","1150","1714","988","1669","1788","1803",
"Agriculture, forestry and fishing","Under middle shcool","Female","25 ~ 29","Employment","Persons","-","5","16","18","13","9","20","44","71","87","58",
"Agriculture, forestry and fishing","Under middle shcool","Female","30 ~ 34","Hours worked","Hours","224","165","205","163.3","221","208","224","190.2","189.3","197.8","187.8",
"Agriculture, forestry and fishing","Under middle shcool","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1006","1489","1166","1431","1727","1400","1247","1639","1494","1736","1687",
"Agriculture, forestry and fishing","Under middle shcool","Female","30 ~ 34","Employment","Persons","2","5","3","8","2","5","7","11","44","53","13",
"Agriculture, forestry and fishing","Under middle shcool","Female","35 ~ 39","Hours worked","Hours","-","123","280","175","200","156","232","145.1","224.3","201.6","199.3",
"Agriculture, forestry and fishing","Under middle shcool","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","-","552","1193","1322","1100","1200","1718","836","1707","2045","1954",
"Agriculture, forestry and fishing","Under middle shcool","Female","35 ~ 39","Employment","Persons","-","2","11","18","3","5","4","10","16","20","38",
"Agriculture, forestry and fishing","Under middle shcool","Female","40 ~ 44","Hours worked","Hours","209.1","188.3","223.9","197.5","195.6","207.7","198","210","202","176","196",
"Agriculture, forestry and fishing","Under middle shcool","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1147","1277","1263","1329","1346","1721","1759","2098","1561","1700","1650",
"Agriculture, forestry and fishing","Under middle shcool","Female","40 ~ 44","Employment","Persons","15","12","12","25","17","10","7","4","20","3","4",
"Agriculture, forestry and fishing","Under middle shcool","Female","45 ~ 49","Hours worked","Hours","219.3","207.5","175.3","186.9","190.2","169.3","159.6","198.4","195.6","189.6","178.9",
"Agriculture, forestry and fishing","Under middle shcool","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1183","1444","1233","1277","1541","1755","1745","1797","1583","1726","1851",
"Agriculture, forestry and fishing","Under middle shcool","Female","45 ~ 49","Employment","Persons","70","39","55","41","27","61","35","22","33","45","29",
"Agriculture, forestry and fishing","Under middle shcool","Female","50 ~ 54","Hours worked","Hours","211.5","195.9","200.2","189.7","183.3","188.1","206.7","200.7","192.6","169.8","164.5",
"Agriculture, forestry and fishing","Under middle shcool","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1327","1293","1554","1493","1705","1490","1539","1985","1989","2005","2042",
"Agriculture, forestry and fishing","Under middle shcool","Female","50 ~ 54","Employment","Persons","120","118","103","124","59","146","82","62","74","75","33",
"Agriculture, forestry and fishing","Under middle shcool","Female","55 ~ 59","Hours worked","Hours","211.5","194.9","192.8","199.2","194","190.4","188.5","226.4","200.2","168.2","175.2",
"Agriculture, forestry and fishing","Under middle shcool","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1184","1339","1143","1386","1423","1471","1546","1881","1662","1938","2010",
"Agriculture, forestry and fishing","Under middle shcool","Female","55 ~ 59","Employment","Persons","85","102","71","118","104","225","158","186","176","182","152",
"Agriculture, forestry and fishing","Under middle shcool","Female","60 years old and over","Hours worked","Hours","209.2","161.7","190.8","193.2","193.2","179.6","195","211.3","195.6","175.5","168.6",
"Agriculture, forestry and fishing","Under middle shcool","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1057","986","1393","1514","1629","1232","1369","1769","1679","1753","1963",
"Agriculture, forestry and fishing","Under middle shcool","Female","60 years old and over","Employment","Persons","121","163","84","188","114","246","192","147","268","395","361",
"Agriculture, forestry and fishing","High shcool","Male","19 years old and less","Hours worked","Hours","199.8","-","190.3","182.8","178.6","181.2","176","192.6","182.8","176","169.2",
"Agriculture, forestry and fishing","High shcool","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","2200","-","1308","1477","1432","1624","1805","1830","1747","2265","1997",
"Agriculture, forestry and fishing","High shcool","Male","19 years old and less","Employment","Persons","12","-","12","24","8","35","19","62","50","93","74",
"Agriculture, forestry and fishing","High shcool","Male","20 ~ 24","Hours worked","Hours","215","201.4","192.6","192.4","200.9","187.5","194.7","198.7","200.9","196.3","188.8",
"Agriculture, forestry and fishing","High shcool","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1392","1498","1279","1218","1550","1599","1670","1710","1811","2012","1989",
"Agriculture, forestry and fishing","High shcool","Male","20 ~ 24","Employment","Persons","73","60","90","190","154","187","222","425","614","700","630",
"Agriculture, forestry and fishing","High shcool","Male","25 ~ 29","Hours worked","Hours","205.1","195.9","198.4","196.1","197.2","194","212.4","196.2","202.7","187.5","189.4",
"Agriculture, forestry and fishing","High shcool","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1625","1696","1555","1438","1742","1619","1753","1525","1832","2060","2042",
"Agriculture, forestry and fishing","High shcool","Male","25 ~ 29","Employment","Persons","245","220","252","423","293","318","446","800","925","849","767",
"Agriculture, forestry and fishing","High shcool","Male","30 ~ 34","Hours worked","Hours","198.8","200.1","200.2","196","197.4","200.7","203.7","193.4","201.7","198.9","181.7",
"Agriculture, forestry and fishing","High shcool","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1878","2015","2112","1731","2060","2078","1910","1956","2274","2096","2237",
"Agriculture, forestry and fishing","High shcool","Male","30 ~ 34","Employment","Persons","416","287","301","415","336","353","454","560","612","527","660",
"Agriculture, forestry and fishing","High shcool","Male","35 ~ 39","Hours worked","Hours","197.4","195","189.6","188.1","186.9","185.7","199.1","192.2","192.1","188.8","180.6",
"Agriculture, forestry and fishing","High shcool","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2199","2350","2199","2251","2414","2364","2411","2335","2417","2718","2535",
"Agriculture, forestry and fishing","High shcool","Male","35 ~ 39","Employment","Persons","666","488","454","489","412","464","422","484","584","473","665",
"Agriculture, forestry and fishing","High shcool","Male","40 ~ 44","Hours worked","Hours","194.1","191.5","185","184.6","176.8","187.1","192.8","191","195.7","181.7","172.2",
"Agriculture, forestry and fishing","High shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2548","2716","2562","2573","2663","2872","2661","2836","2732","3035","2660",
"Agriculture, forestry and fishing","High shcool","Male","40 ~ 44","Employment","Persons","614","641","689","649","735","665","682","692","659","572","699",
"Agriculture, forestry and fishing","High shcool","Male","45 ~ 49","Hours worked","Hours","185.8","188.2","183.7","176.9","175.4","185.3","190.7","183.9","186.5","173.8","169.9",
"Agriculture, forestry and fishing","High shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2600","2916","2793","2886","2860","2907","2768","3140","3071","3155","3133",
"Agriculture, forestry and fishing","High shcool","Male","45 ~ 49","Employment","Persons","817","711","743","820","928","949","944","836","1133","1010","898",
"Agriculture, forestry and fishing","High shcool","Male","50 ~ 54","Hours worked","Hours","189.6","185.8","179.4","172.1","173","187.4","185.6","183.3","183.7","171.5","166.1",
"Agriculture, forestry and fishing","High shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2967","3315","3050","3220","2871","3008","3081","3262","2914","3081","3233",
"Agriculture, forestry and fishing","High shcool","Male","50 ~ 54","Employment","Persons","873","864","865","1020","1205","1156","1177","1157","1413","1308","1358",
"Agriculture, forestry and fishing","High shcool","Male","55 ~ 59","Hours worked","Hours","187.3","185.2","183.2","167.7","178.1","192.9","182.4","182","183.5","175.5","163.9",
"Agriculture, forestry and fishing","High shcool","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","2388","2793","2912","3042","3256","2878","2882","3280","3093","3062","3251",
"Agriculture, forestry and fishing","High shcool","Male","55 ~ 59","Employment","Persons","509","641","690","737","1022","1221","1173","1467","1190","1334","1332",
"Agriculture, forestry and fishing","High shcool","Male","60 years old and over","Hours worked","Hours","180.2","184.4","174.5","166.3","172.7","185.1","176","177.8","181.5","168.1","160.8",
"Agriculture, forestry and fishing","High shcool","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","2238","2207","1970","2165","2369","2255","2133","2494","2645","2808","2826",
"Agriculture, forestry and fishing","High shcool","Male","60 years old and over","Employment","Persons","423","430","587","632","950","868","1085","1333","1076","1510","1636",
"Agriculture, forestry and fishing","High shcool","Female","19 years old and less","Hours worked","Hours","180.2","177.1","168.7","160","162.1","165.4","180.1","173.3","173.7","152","175.1",
"Agriculture, forestry and fishing","High shcool","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","1156","1142","1352","1554","1594","1389","1482","1608","1631","1622","1817",
"Agriculture, forestry and fishing","High shcool","Female","19 years old and less","Employment","Persons","25","24","19","28","8","30","15","37","44","19","21",
"Agriculture, forestry and fishing","High shcool","Female","20 ~ 24","Hours worked","Hours","182.2","178.5","182.5","173.4","170.6","169.8","202.2","193.7","204","198","187.6",
"Agriculture, forestry and fishing","High shcool","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1316","1232","1406","1266","1303","1531","1512","1451","1767","1990","2119",
"Agriculture, forestry and fishing","High shcool","Female","20 ~ 24","Employment","Persons","101","70","81","123","85","121","163","152","255","220","256",
"Agriculture, forestry and fishing","High shcool","Female","25 ~ 29","Hours worked","Hours","177.8","187.2","175.8","177.9","184.9","186.3","197.1","192.5","199.3","212.9","193.2",
"Agriculture, forestry and fishing","High shcool","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1455","1603","1684","1750","1796","1589","1641","1633","1780","1941","2215",
"Agriculture, forestry and fishing","High shcool","Female","25 ~ 29","Employment","Persons","121","97","97","83","65","121","145","175","300","274","181",
"Agriculture, forestry and fishing","High shcool","Female","30 ~ 34","Hours worked","Hours","180.4","180.6","176.4","169.9","162.7","182.1","186.3","191.1","186.9","193.8","190.4",
"Agriculture, forestry and fishing","High shcool","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1711","1895","2206","1997","2271","2027","1981","1988","1975","1985","2180",
"Agriculture, forestry and fishing","High shcool","Female","30 ~ 34","Employment","Persons","149","142","169","155","180","162","150","110","192","194","229",
"Agriculture, forestry and fishing","High shcool","Female","35 ~ 39","Hours worked","Hours","182.1","186.2","174.3","171.5","159","170.5","188.7","182.5","182.3","169.7","172.9",
"Agriculture, forestry and fishing","High shcool","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1767","1782","2281","2094","2199","2615","2573","2326","2394","2654","2664",
"Agriculture, forestry and fishing","High shcool","Female","35 ~ 39","Employment","Persons","208","209","198","216","222","191","178","164","216","197","167",
"Agriculture, forestry and fishing","High shcool","Female","40 ~ 44","Hours worked","Hours","187.8","191.7","186.6","177.5","166.3","174.4","185.3","184","177.5","168.7","168.6",
"Agriculture, forestry and fishing","High shcool","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1589","1605","2049","2011","2211","2451","2473","2587","2828","2861","2811",
"Agriculture, forestry and fishing","High shcool","Female","40 ~ 44","Employment","Persons","167","297","142","275","239","347","320","322","309","277","323",
"Agriculture, forestry and fishing","High shcool","Female","45 ~ 49","Hours worked","Hours","187.8","197","184.7","191.6","178.7","184.3","194.7","188.2","177.3","173.5","167.2",
"Agriculture, forestry and fishing","High shcool","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1243","1492","1586","1754","2034","2302","2373","2564","2257","2787","2856",
"Agriculture, forestry and fishing","High shcool","Female","45 ~ 49","Employment","Persons","155","244","162","259","281","346","325","309","425","460","371",
"Agriculture, forestry and fishing","High shcool","Female","50 ~ 54","Hours worked","Hours","204.6","199.8","189.7","186.5","191.4","185","198.5","188.8","191.2","176.4","177.3",
"Agriculture, forestry and fishing","High shcool","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1776","1499","1345","1402","1668","1625","1789","2054","2035","2505","2461",
"Agriculture, forestry and fishing","High shcool","Female","50 ~ 54","Employment","Persons","100","176","143","229","184","336","390","388","369","401","418",
"Agriculture, forestry and fishing","High shcool","Female","55 ~ 59","Hours worked","Hours","214.2","198.8","181.3","194.9","179.4","190.7","205.1","192.9","197.5","176.4","168.1",
"Agriculture, forestry and fishing","High shcool","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1615","1701","1196","1451","1795","1808","1848","1588","1966","2208","2180",
"Agriculture, forestry and fishing","High shcool","Female","55 ~ 59","Employment","Persons","28","37","48","75","114","213","339","479","313","341","535",
"Agriculture, forestry and fishing","High shcool","Female","60 years old and over","Hours worked","Hours","171","189.3","169.1","187","183.7","201.9","194.3","183.8","192.6","191.3","171.9",
"Agriculture, forestry and fishing","High shcool","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","2623","1944","901","1502","1541","1491","1661","1557","2330","2115","2233",
"Agriculture, forestry and fishing","High shcool","Female","60 years old and over","Employment","Persons","33","61","45","79","59","128","143","270","152","253","316",
"Agriculture, forestry and fishing","Jonior college","Male","19 years old and less","Hours worked","Hours","-","-","-","-","-","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Jonior college","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Jonior college","Male","19 years old and less","Employment","Persons","-","-","-","-","-","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Jonior college","Male","20 ~ 24","Hours worked","Hours","193.1","194.8","197.3","176.4","180.5","190.6","193.7","199.1","201.5","189.7","171.8",
"Agriculture, forestry and fishing","Jonior college","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1611","1720","2347","1256","1658","1705","1788","1742","1894","2050","2066",
"Agriculture, forestry and fishing","Jonior college","Male","20 ~ 24","Employment","Persons","11","25","7","27","47","44","45","32","59","69","56",
"Agriculture, forestry and fishing","Jonior college","Male","25 ~ 29","Hours worked","Hours","192.2","186.3","190.2","176.3","169.4","177","184.6","176.8","194.5","177.6","176.8",
"Agriculture, forestry and fishing","Jonior college","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1953","1836","2082","1777","1888","1975","1880","1993","2223","2300","2340",
"Agriculture, forestry and fishing","Jonior college","Male","25 ~ 29","Employment","Persons","181","144","94","136","72","127","156","99","135","141","152",
"Agriculture, forestry and fishing","Jonior college","Male","30 ~ 34","Hours worked","Hours","193.3","192.3","184.3","186.9","173.1","175.7","189.8","190.8","204.3","177.7","179.9",
"Agriculture, forestry and fishing","Jonior college","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2337","2218","2287","2216","2297","2539","2713","2449","2586","2473","2697",
"Agriculture, forestry and fishing","Jonior college","Male","30 ~ 34","Employment","Persons","236","198","150","204","156","184","209","217","182","152","181",
"Agriculture, forestry and fishing","Jonior college","Male","35 ~ 39","Hours worked","Hours","189.9","182.5","178","168.9","164.6","177.2","194.8","189.5","199","168.6","172.4",
"Agriculture, forestry and fishing","Jonior college","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2696","2801","3132","3088","3093","2868","3073","3345","3026","2897","3015",
"Agriculture, forestry and fishing","Jonior college","Male","35 ~ 39","Employment","Persons","310","310","234","298","205","222","231","231","185","225","181",
"Agriculture, forestry and fishing","Jonior college","Male","40 ~ 44","Hours worked","Hours","186.6","184.7","177.9","168.7","160.2","178.1","181.1","184.4","184.9","172.9","173.2",
"Agriculture, forestry and fishing","Jonior college","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","3348","3316","3886","3807","3735","3756","3359","3589","3963","3875","3812",
"Agriculture, forestry and fishing","Jonior college","Male","40 ~ 44","Employment","Persons","278","314","282","330","301","309","280","280","210","165","194",
"Agriculture, forestry and fishing","Jonior college","Male","45 ~ 49","Hours worked","Hours","181.1","188","179","166.4","159.3","172.6","180.9","180","185.3","169.8","163.6",
"Agriculture, forestry and fishing","Jonior college","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","3867","3958","4152","3961","4443","3673","3793","4450","4204","4561","4292",
"Agriculture, forestry and fishing","Jonior college","Male","45 ~ 49","Employment","Persons","216","331","217","276","260","327","320","298","275","238","293",
"Agriculture, forestry and fishing","Jonior college","Male","50 ~ 54","Hours worked","Hours","180.8","180.7","175.6","166.7","162.6","171.7","176.7","174.6","189.3","167","164.5",
"Agriculture, forestry and fishing","Jonior college","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","4478","4306","5001","4964","4675","4724","4367","4281","4751","4802","4896",
"Agriculture, forestry and fishing","Jonior college","Male","50 ~ 54","Employment","Persons","212","287","276","358","335","320","356","267","231","202","209",
"Agriculture, forestry and fishing","Jonior college","Male","55 ~ 59","Hours worked","Hours","177.7","181.2","177.9","163.6","157.5","162.2","173.8","171.9","180.8","163.3","154.4",
"Agriculture, forestry and fishing","Jonior college","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","3123","3510","4866","5432","5696","5177","5307","5124","4708","4924","4596",
"Agriculture, forestry and fishing","Jonior college","Male","55 ~ 59","Employment","Persons","85","144","135","190","198","286","274","269","299","319","263",
"Agriculture, forestry and fishing","Jonior college","Male","60 years old and over","Hours worked","Hours","174","192.6","184","163.6","158.2","178.7","170.5","162.6","186","159","143.6",
"Agriculture, forestry and fishing","Jonior college","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","2110","1864","1612","2701","1993","2707","2507","3689","2953","3164","3218",
"Agriculture, forestry and fishing","Jonior college","Male","60 years old and over","Employment","Persons","28","39","33","40","52","56","90","43","102","270","161",
"Agriculture, forestry and fishing","Jonior college","Female","19 years old and less","Hours worked","Hours","-","-","-","-","-","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Jonior college","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Jonior college","Female","19 years old and less","Employment","Persons","-","-","-","-","-","-","-","-","-","-","-",
"Agriculture, forestry and fishing","Jonior college","Female","20 ~ 24","Hours worked","Hours","175.2","175.3","175.4","167.4","167.1","161.5","175.1","179.5","176.8","140.4","163.4",
"Agriculture, forestry and fishing","Jonior college","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1514","1329","1322","1454","1587","1611","1868","2080","1867","2003","2193",
"Agriculture, forestry and fishing","Jonior college","Female","20 ~ 24","Employment","Persons","82","56","112","68","77","79","54","66","58","38","51",
"Agriculture, forestry and fishing","Jonior college","Female","25 ~ 29","Hours worked","Hours","177.6","178.6","170.2","163.5","169.3","156.8","178.9","182.9","175.5","151.8","157.2",
"Agriculture, forestry and fishing","Jonior college","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1622","1738","1936","1835","1805","1760","2068","1882","2321","2024","2221",
"Agriculture, forestry and fishing","Jonior college","Female","25 ~ 29","Employment","Persons","194","156","138","139","112","91","90","87","103","90","111",
"Agriculture, forestry and fishing","Jonior college","Female","30 ~ 34","Hours worked","Hours","180.4","176.8","172.4","168.3","160.6","158.3","182.1","185.6","176.6","165","152.1",
"Agriculture, forestry and fishing","Jonior college","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2042","2156","2358","2440","2338","2230","2175","2323","2367","2488","1999",
"Agriculture, forestry and fishing","Jonior college","Female","30 ~ 34","Employment","Persons","165","117","133","194","154","153","106","80","76","96","271",
"Agriculture, forestry and fishing","Jonior college","Female","35 ~ 39","Hours worked","Hours","181.3","173.1","169.8","168.5","158.5","167.4","179.2","172.4","180.8","146.6","157.2",
"Agriculture, forestry and fishing","Jonior college","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2570","2508","2633","2658","2802","2540","2208","2746","2631","2446","2920",
"Agriculture, forestry and fishing","Jonior college","Female","35 ~ 39","Employment","Persons","110","111","147","192","199","188","175","147","137","172","115",
"Agriculture, forestry and fishing","Jonior college","Female","40 ~ 44","Hours worked","Hours","180.2","183","174.8","166.8","164.8","164.4","184.2","174.5","164.7","145.2","139.2",
"Agriculture, forestry and fishing","Jonior college","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2760","2170","2356","2329","2767","3315","3028","3153","3105","3019","2555",
"Agriculture, forestry and fishing","Jonior college","Female","40 ~ 44","Employment","Persons","32","42","57","53","69","148","171","198","150","187","249",
"Agriculture, forestry and fishing","Jonior college","Female","45 ~ 49","Hours worked","Hours","181.8","177.7","190.3","162.2","195","172.1","180.4","181.6","184.4","131.8","158.9",
"Agriculture, forestry and fishing","Jonior college","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2067","2110","1746","2966","2341","3019","2740","3227","4015","2571","3471",
"Agriculture, forestry and fishing","Jonior college","Female","45 ~ 49","Employment","Persons","15","20","26","42","19","41","67","85","70","134","116",
"Agriculture, forestry and fishing","Jonior college","Female","50 ~ 54","Hours worked","Hours","200.1","195","190.5","160","182.2","124.2","167.7","189.4","191.9","133.3","156.6",
"Agriculture, forestry and fishing","Jonior college","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2129","1446","1765","1122","1653","2159","3064","2515","2445","2520","4193",
"Agriculture, forestry and fishing","Jonior college","Female","50 ~ 54","Employment","Persons","6","7","13","3","29","18","29","39","26","55","31",
