Industry,Education,Sex,Age,Item,UNIT,2002 Year,2003 Year,2004 Year,2005 Year,2006 Year,2007 Year,2008 Year
1,Under middle shcool,Male,60 years old and over,Total hours worked,Hours,190.3,201.1,208,194.7,191.2,197.4,175
1,Under middle shcool,Male,60 years old and over,Monthly Total wage,Won,1612607,1376143,1332000,1618481,1618473,1545422,1856238
1,Under middle shcool,Male,60 years old and over,Employment,Persons,42,28,16,283,260,92,110
1,Under middle shcool,Female,19 years old and less,Total hours worked,Hours,,,,,,,-
1,Under middle shcool,Female,19 years old and less,Monthly Total wage,Won,,,,,,,-
1,Under middle shcool,Female,19 years old and less,Employment,Persons,,,,,,,-
1,Under middle shcool,Female,20 ~ 24,Total hours worked,Hours,,,,,,,166
1,Under middle shcool,Female,20 ~ 24,Monthly Total wage,Won,,,,,,,832000
1,Under middle shcool,Female,20 ~ 24,Employment,Persons,,,,,,,2
1,Under middle shcool,Female,25 ~ 29,Total hours worked,Hours,,,,,,,240
1,Under middle shcool,Female,25 ~ 29,Monthly Total wage,Won,,,,,,,1223000
1,Under middle shcool,Female,25 ~ 29,Employment,Persons,,,,,,,1
1,Under middle shcool,Female,30 ~ 34,Total hours worked,Hours,200,,,,,,-
1,Under middle shcool,Female,30 ~ 34,Monthly Total wage,Won,1045000,,,,,,-
1,Under middle shcool,Female,30 ~ 34,Employment,Persons,2,,,,,,-
1,Under middle shcool,Female,35 ~ 39,Total hours worked,Hours,200,250,247,200,,,191
1,Under middle shcool,Female,35 ~ 39,Monthly Total wage,Won,915555,1229000,1167000,1096000,,,1149000
1,Under middle shcool,Female,35 ~ 39,Employment,Persons,150,2,3,1,,,4
1,Under middle shcool,Female,40 ~ 44,Total hours worked,Hours,189.1,295.4,251,,,,185
1,Under middle shcool,Female,40 ~ 44,Monthly Total wage,Won,761386,883500,1149600,,,,1126000
1,Under middle shcool,Female,40 ~ 44,Employment,Persons,390,46,15,,,,4
1,Under middle shcool,Female,45 ~ 49,Total hours worked,Hours,228.5,230.9,224.6,200,174,212.9,189
1,Under middle shcool,Female,45 ~ 49,Monthly Total wage,Won,1008659,958733,1161857,1278000,787000,999959,1296000
1,Under middle shcool,Female,45 ~ 49,Employment,Persons,154,30,14,1,2,13,4
1,Under middle shcool,Female,50 ~ 54,Total hours worked,Hours,199.7,234.1,222.8,,208,160,185.4
1,Under middle shcool,Female,50 ~ 54,Monthly Total wage,Won,821954,1109783,1193625,,929333,836992,1132219
1,Under middle shcool,Female,50 ~ 54,Employment,Persons,162,23,8,,6,4,11
1,Under middle shcool,Female,55 ~ 59,Total hours worked,Hours,221.1,197,234.4,201.1,177.7,197,229
1,Under middle shcool,Female,55 ~ 59,Monthly Total wage,Won,914323,907794,978000,896400,1379333,888741,1107000
1,Under middle shcool,Female,55 ~ 59,Employment,Persons,91,34,10,10,6,10,2
1,Under middle shcool,Female,60 years old and over,Total hours worked,Hours,212,237.5,209.7,200,188,224,187.2
1,Under middle shcool,Female,60 years old and over,Monthly Total wage,Won,825000,921000,1050833,914000,646000,719993,1038130
1,Under middle shcool,Female,60 years old and over,Employment,Persons,4,4,6,2,4,2,16
1,High shcool,Male,19 years old and less,Total hours worked,Hours,202.7,207.3,260,200,,,179.2
1,High shcool,Male,19 years old and less,Monthly Total wage,Won,932712,947429,910000,1150000,,,1427419
1,High shcool,Male,19 years old and less,Employment,Persons,45,28,12,1,,,6
1,High shcool,Male,20 ~ 24,Total hours worked,Hours,212.9,228.4,219.5,226.5,224.7,202.1,207.9
1,High shcool,Male,20 ~ 24,Monthly Total wage,Won,980853,1119316,1235966,1384500,2068500,850327,1597894
1,High shcool,Male,20 ~ 24,Employment,Persons,99,76,89,8,12,19,9
1,High shcool,Male,25 ~ 29,Total hours worked,Hours,205,258,217.3,198.2,214.9,192.3,191.9
1,High shcool,Male,25 ~ 29,Monthly Total wage,Won,1024484,1352148,1290705,1566036,2055158,932330,1398148
1,High shcool,Male,25 ~ 29,Employment,Persons,218,108,78,28,38,34,60
1,High shcool,Male,30 ~ 34,Total hours worked,Hours,188.6,223,213.5,194.2,191.7,192.3,182.6
1,High shcool,Male,30 ~ 34,Monthly Total wage,Won,1430341,1692740,1542609,1887699,1788441,1341362,1559687
1,High shcool,Male,30 ~ 34,Employment,Persons,134,200,174,93,59,97,152
1,High shcool,Male,35 ~ 39,Total hours worked,Hours,187,205.9,212.4,202.5,190.8,192.6,178.3
1,High shcool,Male,35 ~ 39,Monthly Total wage,Won,1317523,1452909,1520953,1900824,1804453,1564321,1659469
1,High shcool,Male,35 ~ 39,Employment,Persons,238,176,169,170,150,195,320
1,High shcool,Male,40 ~ 44,Total hours worked,Hours,199.1,211.9,228.3,191.3,188.7,196.8,176.6
1,High shcool,Male,40 ~ 44,Monthly Total wage,Won,2005412,2104289,1808113,1920460,2002721,1822245,1768052
1,High shcool,Male,40 ~ 44,Employment,Persons,119,152,80,374,233,218,414
1,High shcool,Male,45 ~ 49,Total hours worked,Hours,200.9,213.6,212.5,189.5,186.2,194.1,175.1
1,High shcool,Male,45 ~ 49,Monthly Total wage,Won,1804502,1958744,2045477,1895625,2062075,1838243,1927973
1,High shcool,Male,45 ~ 49,Employment,Persons,74,172,195,451,347,411,516
1,High shcool,Male,50 ~ 54,Total hours worked,Hours,190.2,173.2,202.6,190.7,184.7,194.6,179.7
1,High shcool,Male,50 ~ 54,Monthly Total wage,Won,1992329,1830182,2300036,2056846,1957312,1865849,2075615
1,High shcool,Male,50 ~ 54,Employment,Persons,87,44,303,370,279,278,497
1,High shcool,Male,55 ~ 59,Total hours worked,Hours,214.7,211.1,218.2,188.3,189,194.6,176.6
1,High shcool,Male,55 ~ 59,Monthly Total wage,Won,1297245,1951559,1854524,2113116,1985697,1743925,1930504
1,High shcool,Male,55 ~ 59,Employment,Persons,86,136,313,225,228,213,294
1,High shcool,Male,60 years old and over,Total hours worked,Hours,199.4,191.5,200.4,183.8,197.4,195.1,179.5
1,High shcool,Male,60 years old and over,Monthly Total wage,Won,1048136,1300091,2891321,1712096,2308898,1681424,1962461
1,High shcool,Male,60 years old and over,Employment,Persons,37,44,109,135,108,139,317
1,High shcool,Female,19 years old and less,Total hours worked,Hours,174.9,180,184,180,184,,114.8
1,High shcool,Female,19 years old and less,Monthly Total wage,Won,878694,885500,948167,905500,1221000,,1174862
1,High shcool,Female,19 years old and less,Employment,Persons,83,8,6,2,2,,4
1,High shcool,Female,20 ~ 24,Total hours worked,Hours,180.8,178.5,196.6,200.1,181.2,190.4,172.5
1,High shcool,Female,20 ~ 24,Monthly Total wage,Won,960358,1053103,1036419,1009850,902533,1037420,1186534
1,High shcool,Female,20 ~ 24,Employment,Persons,326,87,43,20,30,10,30
1,High shcool,Female,25 ~ 29,Total hours worked,Hours,202.3,197.4,204.9,194.4,177.2,184.3,177.5
1,High shcool,Female,25 ~ 29,Monthly Total wage,Won,990901,1246800,1106667,1161375,1108545,1356511,1512776
1,High shcool,Female,25 ~ 29,Employment,Persons,166,65,33,16,22,16,25
1,High shcool,Female,30 ~ 34,Total hours worked,Hours,203,182.6,195.7,198.5,189.8,182.7,191
1,High shcool,Female,30 ~ 34,Monthly Total wage,Won,999488,1136647,1306333,1111909,1228500,1496385,1455000
1,High shcool,Female,30 ~ 34,Employment,Persons,16,17,12,11,12,9,4
1,High shcool,Female,35 ~ 39,Total hours worked,Hours,139.6,303.8,222.1,198,192.3,212,194.7
1,High shcool,Female,35 ~ 39,Monthly Total wage,Won,603712,1144211,1214214,1613000,1623714,2098554,1618024
1,High shcool,Female,35 ~ 39,Employment,Persons,79,19,14,5,14,12,15
1,High shcool,Female,40 ~ 44,Total hours worked,Hours,,221,192,199.2,223,234.9,203.9
1,High shcool,Female,40 ~ 44,Monthly Total wage,Won,,1135500,1155000,1233000,986800,1538003,1713160
1,High shcool,Female,40 ~ 44,Employment,Persons,,4,1,5,10,11,12
1,High shcool,Female,45 ~ 49,Total hours worked,Hours,188.2,310.2,224,150.3,202.6,217.1,196.9
1,High shcool,Female,45 ~ 49,Monthly Total wage,Won,1416861,1113118,1034000,2152333,1282556,1410016,1494326
1,High shcool,Female,45 ~ 49,Employment,Persons,9,17,2,9,18,10,31
1,High shcool,Female,50 ~ 54,Total hours worked,Hours,,,200,131,204.3,198.6,172.8
1,High shcool,Female,50 ~ 54,Monthly Total wage,Won,,,848000,864000,1399250,3133769,1959270
1,High shcool,Female,50 ~ 54,Employment,Persons,,,1,6,16,7,11
1,High shcool,Female,55 ~ 59,Total hours worked,Hours,175,200,,184,204.3,202.7,154.4
1,High shcool,Female,55 ~ 59,Monthly Total wage,Won,769450,655000,,554000,954667,1205988,971873
1,High shcool,Female,55 ~ 59,Employment,Persons,4,2,,3,6,3,7
1,High shcool,Female,60 years old and over,Total hours worked,Hours,229,,225.9,,187.6,194.3,-
1,High shcool,Female,60 years old and over,Monthly Total wage,Won,819500,,883095,,1718000,2752623,-
1,High shcool,Female,60 years old and over,Employment,Persons,7,,21,,16,4,-
1,Jonior college,Male,19 years old and less,Total hours worked,Hours,,,,,,,-
1,Jonior college,Male,19 years old and less,Monthly Total wage,Won,,,,,,,-
1,Jonior college,Male,19 years old and less,Employment,Persons,,,,,,,-
1,Jonior college,Male,20 ~ 24,Total hours worked,Hours,201,172.6,184,168,,184,162
1,Jonior college,Male,20 ~ 24,Monthly Total wage,Won,1002090,1072286,1056000,1152000,,1333021,1012000
1,Jonior college,Male,20 ~ 24,Employment,Persons,50,28,10,1,,6,3
1,Jonior college,Male,25 ~ 29,Total hours worked,Hours,195.1,177.6,200.7,196.8,187.5,184,179.4
1,Jonior college,Male,25 ~ 29,Monthly Total wage,Won,1049734,1118313,1142033,2121231,2311300,1667048,1614265
1,Jonior college,Male,25 ~ 29,Employment,Persons,49,64,91,13,20,12,28
1,Jonior college,Male,30 ~ 34,Total hours worked,Hours,201.1,199.8,214.3,199,179.5,162.5,179
1,Jonior college,Male,30 ~ 34,Monthly Total wage,Won,1268722,1418472,1491151,2530286,1857818,2702844,1823995
1,Jonior college,Male,30 ~ 34,Employment,Persons,164,144,139,21,22,12,50
1,Jonior college,Male,35 ~ 39,Total hours worked,Hours,195.7,192.3,202.7,190.9,198.6,179.8,175.7
1,Jonior college,Male,35 ~ 39,Monthly Total wage,Won,2371139,2077417,1782213,2676333,2608274,2319395,2107110
1,Jonior college,Male,35 ~ 39,Employment,Persons,110,96,61,30,383,19,117
1,Jonior college,Male,40 ~ 44,Total hours worked,Hours,202,193.9,194.2,198.4,186.3,182,170
1,Jonior college,Male,40 ~ 44,Monthly Total wage,Won,1854440,2903955,2278375,2956862,2647232,3076959,2051241
1,Jonior college,Male,40 ~ 44,Employment,Persons,58,88,56,29,56,22,42
1,Jonior college,Male,45 ~ 49,Total hours worked,Hours,179.1,182,190.7,191.6,182.4,183.2,167.1
1,Jonior college,Male,45 ~ 49,Monthly Total wage,Won,2146833,2338429,2606833,2837725,2932895,3110879,2405810
1,Jonior college,Male,45 ~ 49,Employment,Persons,36,28,18,51,57,38,119
1,Jonior college,Male,50 ~ 54,Total hours worked,Hours,183.3,176,202.9,183.3,176.4,187.2,166.4
1,Jonior college,Male,50 ~ 54,Monthly Total wage,Won,1963133,2357750,2320946,4329000,2821556,3688178,2225730
1,Jonior college,Male,50 ~ 54,Employment,Persons,9,16,56,10,18,35,63
1,Jonior college,Male,55 ~ 59,Total hours worked,Hours,180.3,194,,188.4,177.2,191,166.6
1,Jonior college,Male,55 ~ 59,Monthly Total wage,Won,1417625,1581500,,2116727,2350000,2579829,1922745
1,Jonior college,Male,55 ~ 59,Employment,Persons,12,16,,11,10,8,30
1,Jonior college,Male,60 years old and over,Total hours worked,Hours,,,,,178,184,161
1,Jonior college,Male,60 years old and over,Monthly Total wage,Won,,,,,1761000,1927084,2009581
1,Jonior college,Male,60 years old and over,Employment,Persons,,,,,6,4,9
1,Jonior college,Female,19 years old and less,Total hours worked,Hours,,,,190,,,-
1,Jonior college,Female,19 years old and less,Monthly Total wage,Won,,,,1495000,,,-
1,Jonior college,Female,19 years old and less,Employment,Persons,,,,1,,,-
1,Jonior college,Female,20 ~ 24,Total hours worked,Hours,174.8,185.9,221.3,191.9,175.8,169.6,167.5
1,Jonior college,Female,20 ~ 24,Monthly Total wage,Won,933737,1166125,869280,1058093,1020267,1273910,1351822
1,Jonior college,Female,20 ~ 24,Employment,Persons,180,56,193,54,60,49,60
1,Jonior college,Female,25 ~ 29,Total hours worked,Hours,188.8,189.3,194.3,190.5,176.1,171.6,172
1,Jonior college,Female,25 ~ 29,Monthly Total wage,Won,907015,983689,1239333,989975,1105150,1352537,1438677
1,Jonior college,Female,25 ~ 29,Employment,Persons,34,45,21,120,40,54,121
1,Jonior college,Female,30 ~ 34,Total hours worked,Hours,204,217,194,199.4,182.2,172.9,176
1,Jonior college,Female,30 ~ 34,Monthly Total wage,Won,1531000,1034000,1314000,1714400,1174800,1199988,1529721
1,Jonior college,Female,30 ~ 34,Employment,Persons,2,4,1,5,10,9,36
1,Jonior college,Female,35 ~ 39,Total hours worked,Hours,198,192,,,184,,191.7
1,Jonior college,Female,35 ~ 39,Monthly Total wage,Won,1489000,1314000,,,807000,,1673969
1,Jonior college,Female,35 ~ 39,Employment,Persons,4,2,,,2,,17
1,Jonior college,Female,40 ~ 44,Total hours worked,Hours,,,,,168,160,-
1,Jonior college,Female,40 ~ 44,Monthly Total wage,Won,,,,,2415000,2789972,-
1,Jonior college,Female,40 ~ 44,Employment,Persons,,,,,2,2,-
1,Jonior college,Female,45 ~ 49,Total hours worked,Hours,,,,184,,,164
1,Jonior college,Female,45 ~ 49,Monthly Total wage,Won,,,,1975000,,,2586555
1,Jonior college,Female,45 ~ 49,Employment,Persons,,,,1,,,6
1,Jonior college,Female,50 ~ 54,Total hours worked,Hours,175,,,,183,,-
1,Jonior college,Female,50 ~ 54,Monthly Total wage,Won,7340300,,,,1630000,,-
1,Jonior college,Female,50 ~ 54,Employment,Persons,7,,,,2,,-
1,Jonior college,Female,55 ~ 59,Total hours worked,Hours,,,,,,,-
1,Jonior college,Female,55 ~ 59,Monthly Total wage,Won,,,,,,,
1,Jonior college,Female,55 ~ 59,Employment,Persons,,,,,,,
1,Jonior college,Female,60 years old and over,Total hours worked,Hours,182,200,192,,,,164
1,Jonior college,Female,60 years old and over,Monthly Total wage,Won,2970000,2823000,2381000,,,,1009000
1,Jonior college,Female,60 years old and over,Employment,Persons,2,2,1,,,,2
1,College and university and over,Male,19 years old and less,Total hours worked,Hours,,,,,,,-
1,College and university and over,Male,19 years old and less,Monthly Total wage,Won,,,,,,,-
1,College and university and over,Male,19 years old and less,Employment,Persons,,,,,,,-
1,College and university and over,Male,20 ~ 24,Total hours worked,Hours,204,216,190,213,,160,-
1,College and university and over,Male,20 ~ 24,Monthly Total wage,Won,1012400,1426000,2440000,2681500,,1913754,-
1,College and university and over,Male,20 ~ 24,Employment,Persons,6,4,3,4,,3,-
1,College and university and over,Male,25 ~ 29,Total hours worked,Hours,179.3,183.2,198.7,198,173,165,168.5
1,College and university and over,Male,25 ~ 29,Monthly Total wage,Won,1271475,1448364,1260531,2478682,1979074,2076354,2488521
1,College and university and over,Male,25 ~ 29,Employment,Persons,324,440,128,66,54,58,97
1,College and university and over,Male,30 ~ 34,Total hours worked,Hours,180,178.1,187,187.7,181.8,171.7,171.6
1,College and university and over,Male,30 ~ 34,Monthly Total wage,Won,1716052,1870600,2021862,2534828,2653452,3413217,2629280
1,College and university and over,Male,30 ~ 34,Employment,Persons,178,200,94,58,62,61,138
1,College and university and over,Male,35 ~ 39,Total hours worked,Hours,178.5,194.7,197.5,193.8,176.4,173.7,169.6
1,College and university and over,Male,35 ~ 39,Monthly Total wage,Won,1991854,2345162,2380831,2718091,2868920,3566631,3269301
1,College and university and over,Male,35 ~ 39,Employment,Persons,82,148,71,55,50,85,116
1,College and university and over,Male,40 ~ 44,Total hours worked,Hours,176.8,178,196,192.4,181,176.3,171.2
1,College and university and over,Male,40 ~ 44,Monthly Total wage,Won,2626139,3033122,2743846,3426765,3501477,4088145,3549162
1,College and university and over,Male,40 ~ 44,Employment,Persons,110,196,65,68,88,76,112
1,College and university and over,Male,45 ~ 49,Total hours worked,Hours,177,185.6,192,190,179,176.8,172.6
1,College and university and over,Male,45 ~ 49,Monthly Total wage,Won,3124161,3196250,2922571,3749692,4574563,4264371,4087219
1,College and university and over,Male,45 ~ 49,Employment,Persons,41,64,21,26,48,60,107
1,College and university and over,Male,50 ~ 54,Total hours worked,Hours,174.4,178.8,196.4,184.5,181.3,173,178.8
1,College and university and over,Male,50 ~ 54,Monthly Total wage,Won,3374979,3994000,3960363,4294853,4686981,4996762,5946250
1,College and university and over,Male,50 ~ 54,Employment,Persons,92,100,91,34,53,32,39
1,College and university and over,Male,55 ~ 59,Total hours worked,Hours,185.8,200,198,187.2,185,181.3,178.4
1,College and university and over,Male,55 ~ 59,Monthly Total wage,Won,3304813,4173000,2841000,6884056,4680455,3828015,6004551
1,College and university and over,Male,55 ~ 59,Employment,Persons,12,4,12,18,22,32,36
1,College and university and over,Male,60 years old and over,Total hours worked,Hours,183.8,176,201,179.4,171.5,166.6,167.5
1,College and university and over,Male,60 years old and over,Monthly Total wage,Won,2992000,3863667,4171785,6622273,4626091,3850955,6220024
1,College and university and over,Male,60 years old and over,Employment,Persons,18,12,65,11,22,35,51
1,College and university and over,Female,19 years old and less,Total hours worked,Hours,,,,,,,-
1,College and university and over,Female,19 years old and less,Monthly Total wage,Won,,,,,,,-
1,College and university and over,Female,19 years old and less,Employment,Persons,,,,,,,-
1,College and university and over,Female,20 ~ 24,Total hours worked,Hours,177,204,203.1,188,,165.7,173.9
1,College and university and over,Female,20 ~ 24,Monthly Total wage,Won,901371,871429,835133,940000,,1344844,1394810
1,College and university and over,Female,20 ~ 24,Employment,Persons,21,14,15,5,,7,10
1,College and university and over,Female,25 ~ 29,Total hours worked,Hours,180.7,181.3,189.7,185.1,178.3,164,173
1,College and university and over,Female,25 ~ 29,Monthly Total wage,Won,1487200,1240667,1451500,1340778,1079818,1455286,1587512
1,College and university and over,Female,25 ~ 29,Employment,Persons,6,6,6,18,22,13,71
1,College and university and over,Female,30 ~ 34,Total hours worked,Hours,199.4,,,152.3,175.2,168.9,169.5
1,College and university and over,Female,30 ~ 34,Monthly Total wage,Won,756786,,,1431000,1688800,1645955,2241618
1,College and university and over,Female,30 ~ 34,Employment,Persons,77,,,9,10,7,32
1,College and university and over,Female,35 ~ 39,Total hours worked,Hours,,,,214,,174,130
1,College and university and over,Female,35 ~ 39,Monthly Total wage,Won,,,,1953000,,2162678,1921500
1,College and university and over,Female,35 ~ 39,Employment,Persons,,,,1,,5,5
1,College and university and over,Female,40 ~ 44,Total hours worked,Hours,175,,,252,176,176,162.8
1,College and university and over,Female,40 ~ 44,Monthly Total wage,Won,2200000,,,1152000,2153000,3149969,3038628
1,College and university and over,Female,40 ~ 44,Employment,Persons,2,,,2,2,1,6
1,College and university and over,Female,45 ~ 49,Total hours worked,Hours,172,,192,168,,183,164
1,College and university and over,Female,45 ~ 49,Monthly Total wage,Won,2431000,,2391000,3081000,,2429976,799000
1,College and university and over,Female,45 ~ 49,Employment,Persons,75,,1,1,,1,3
1,College and university and over,Female,50 ~ 54,Total hours worked,Hours,,,,,,,-
1,College and university and over,Female,50 ~ 54,Monthly Total wage,Won,,,,,,,-
1,College and university and over,Female,50 ~ 54,Employment,Persons,,,,,,,-
1,College and university and over,Female,55 ~ 59,Total hours worked,Hours,,192,185.2,182,168,168,164
1,College and university and over,Female,55 ~ 59,Monthly Total wage,Won,,7382000,3176000,5521000,6084000,7514925,5854656
1,College and university and over,Female,55 ~ 59,Employment,Persons,,4,5,5,2,4,4
1,College and university and over,Female,60 years old and over,Total hours worked,Hours,164,181.3,,184,168,160,163.9
1,College and university and over,Female,60 years old and over,Monthly Total wage,Won,2821500,2652333,,2226000,3041333,5399946,6034862
1,College and university and over,Female,60 years old and over,Employment,Persons,2,6,,2,6,3,9
2,Under middle shcool,Male,19 years old and less,Total hours worked,Hours,,,,,,,-
2,Under middle shcool,Male,19 years old and less,Monthly Total wage,Won,,,,,,,-
2,Under middle shcool,Male,19 years old and less,Employment,Persons,,,,,,,-
2,Under middle shcool,Male,20 ~ 24,Total hours worked,Hours,232,184,230.5,210.3,223,248,-
2,Under middle shcool,Male,20 ~ 24,Monthly Total wage,Won,478326,651000,1480167,1657250,1092000,1272230,-
2,Under middle shcool,Male,20 ~ 24,Employment,Persons,3,4,6,8,4,8,-
2,Under middle shcool,Male,25 ~ 29,Total hours worked,Hours,220.9,191.3,196.4,222.3,200.4,205.6,184.4
2,Under middle shcool,Male,25 ~ 29,Monthly Total wage,Won,1439755,1314513,1301105,1839607,2196824,1434128,1945246
2,Under middle shcool,Male,25 ~ 29,Employment,Persons,28,39,19,28,17,8,60
2,Under middle shcool,Male,30 ~ 34,Total hours worked,Hours,200.3,196.8,188.7,167.8,169.8,130,152.5
2,Under middle shcool,Male,30 ~ 34,Monthly Total wage,Won,1417211,1598895,1501592,1769765,2175614,2174379,2290016
2,Under middle shcool,Male,30 ~ 34,Employment,Persons,141,133,120,81,57,83,57
2,Under middle shcool,Male,35 ~ 39,Total hours worked,Hours,184.6,178.2,194,182.5,177.4,221.1,159.6
2,Under middle shcool,Male,35 ~ 39,Monthly Total wage,Won,1494189,1628436,1775404,1998671,2306951,2277732,2567407
2,Under middle shcool,Male,35 ~ 39,Employment,Persons,427,401,230,222,144,96,93
2,Under middle shcool,Male,40 ~ 44,Total hours worked,Hours,184.2,180,194.9,176.8,177.9,168.4,165.4
2,Under middle shcool,Male,40 ~ 44,Monthly Total wage,Won,1526785,1787660,1616597,1999517,2219284,2451707,2593048
2,Under middle shcool,Male,40 ~ 44,Employment,Persons,1561,1233,1019,669,416,379,253
2,Under middle shcool,Male,45 ~ 49,Total hours worked,Hours,185.7,184.9,201.9,171.9,181.2,168.3,159.5
2,Under middle shcool,Male,45 ~ 49,Monthly Total wage,Won,1596659,1775210,1820139,2000722,2269624,2594061,2559488
2,Under middle shcool,Male,45 ~ 49,Employment,Persons,1945,1878,1985,1354,1187,1192,1121
2,Under middle shcool,Male,50 ~ 54,Total hours worked,Hours,200.2,196.7,200.7,179.4,179.9,169.7,167.5
2,Under middle shcool,Male,50 ~ 54,Monthly Total wage,Won,1679329,1777248,1670434,1999427,2165671,2728345,2502443
2,Under middle shcool,Male,50 ~ 54,Employment,Persons,1723,1437,2297,1320,1273,1355,1727
2,Under middle shcool,Male,55 ~ 59,Total hours worked,Hours,201.3,203,207.1,189.7,179.6,178,183.9
2,Under middle shcool,Male,55 ~ 59,Monthly Total wage,Won,1326553,1513194,1495934,1742045,2007748,2393790,2332651
2,Under middle shcool,Male,55 ~ 59,Employment,Persons,483,630,836,606,614,749,1173
2,Under middle shcool,Male,60 years old and over,Total hours worked,Hours,206,200.4,196.9,200,205.4,201.7,192.2
2,Under middle shcool,Male,60 years old and over,Monthly Total wage,Won,1209390,1348628,1259514,1408796,1344904,1614290,1965089
2,Under middle shcool,Male,60 years old and over,Employment,Persons,344,355,467,323,456,315,1568
2,Under middle shcool,Female,19 years old and less,Total hours worked,Hours,,,,,,,-
2,Under middle shcool,Female,19 years old and less,Monthly Total wage,Won,,,,,,,-
2,Under middle shcool,Female,19 years old and less,Employment,Persons,,,,,,,-
2,Under middle shcool,Female,20 ~ 24,Total hours worked,Hours,,260,212,,,,-
2,Under middle shcool,Female,20 ~ 24,Monthly Total wage,Won,,773000,886500,,,,-
2,Under middle shcool,Female,20 ~ 24,Employment,Persons,,4,4,,,,-
2,Under middle shcool,Female,25 ~ 29,Total hours worked,Hours,,244.8,,,,,-
2,Under middle shcool,Female,25 ~ 29,Monthly Total wage,Won,,1289600,,,,,-
2,Under middle shcool,Female,25 ~ 29,Employment,Persons,,10,,,,,-
2,Under middle shcool,Female,30 ~ 34,Total hours worked,Hours,,200,189,172,114,,-
2,Under middle shcool,Female,30 ~ 34,Monthly Total wage,Won,,696000,541000,835000,1334000,,-
2,Under middle shcool,Female,30 ~ 34,Employment,Persons,,4,4,4,4,,-
2,Under middle shcool,Female,35 ~ 39,Total hours worked,Hours,233.2,188.9,215,240,,,194.1
2,Under middle shcool,Female,35 ~ 39,Monthly Total wage,Won,925260,827923,673000,797000,,,1378167
2,Under middle shcool,Female,35 ~ 39,Employment,Persons,10,13,3,12,,,32
2,Under middle shcool,Female,40 ~ 44,Total hours worked,Hours,218.5,215.2,200.8,206.9,202.2,195.3,187.6
2,Under middle shcool,Female,40 ~ 44,Monthly Total wage,Won,813646,952316,989955,1261786,1006800,1288333,1139866
2,Under middle shcool,Female,40 ~ 44,Employment,Persons,61,76,89,28,35,3,12
2,Under middle shcool,Female,45 ~ 49,Total hours worked,Hours,213.6,215.6,214.8,198.1,225,216.9,181.5
2,Under middle shcool,Female,45 ~ 49,Monthly Total wage,Won,912326,999104,1186665,1111568,1118374,1364905,1527828
